epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,3320.25,0.75059,0.67909,1.27599,0.03935,0.95386,0.94996,0.9661,0.89746,0.43945,0.33724,1.16823,0.05659,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,3436.79,0.74219,0.67423,1.27261,0.03866,0.95492,0.9574,0.96386,0.89212,0.44972,0.33737,1.17923,0.06033,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,3553.13,0.74046,0.66333,1.26766,0.03869,0.95684,0.94885,0.9666,0.89976,0.44315,0.33588,1.1676,0.0572,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,3669.52,0.73517,0.65878,1.26293,0.03817,0.94868,0.96022,0.96615,0.90053,0.44589,0.3357,1.17979,0.0578,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3785.63,0.7333,0.65542,1.26122,0.03745,0.94871,0.9542,0.96385,0.89743,0.43816,0.33422,1.16131,0.05893,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3901.71,0.72785,0.64943,1.25839,0.03706,0.94222,0.95586,0.96396,0.89687,0.4395,0.33361,1.1673,0.05756,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4018.31,0.72207,0.64599,1.25366,0.03647,0.94728,0.94787,0.96425,0.8953,0.43859,0.32668,1.1753,0.06054,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4134.68,0.72484,0.6429,1.2541,0.0355,0.94888,0.95832,0.96426,0.89581,0.43242,0.32312,1.16916,0.05917,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4251.79,0.72191,0.64723,1.25415,0.03534,0.94516,0.96204,0.96425,0.89845,0.43221,0.32645,1.17111,0.05676,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4367.7,0.71368,0.63288,1.24593,0.03543,0.94708,0.95213,0.96535,0.89985,0.42778,0.3266,1.15914,0.05364,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4484.17,0.71276,0.63075,1.2456,0.03435,0.94879,0.95825,0.96703,0.90291,0.42365,0.32029,1.15176,0.05334,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4600.28,0.71206,0.62967,1.243,0.03436,0.94747,0.95382,0.96475,0.90019,0.42658,0.32422,1.15433,0.0557,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4717.08,0.70842,0.63087,1.24325,0.03419,0.94851,0.95339,0.96339,0.90151,0.42288,0.31822,1.15264,0.05494,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4833.58,0.71238,0.62841,1.24673,0.03496,0.95156,0.95332,0.9649,0.90261,0.41909,0.31548,1.15375,0.05474,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4950.61,0.70038,0.61777,1.23791,0.03303,0.95445,0.9552,0.96419,0.9017,0.41574,0.30901,1.15357,0.05263,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5067.45,0.6984,0.62422,1.23369,0.03251,0.95161,0.95611,0.96684,0.90409,0.41664,0.31236,1.15871,0.05507,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5184.84,0.69861,0.61636,1.23575,0.0318,0.95282,0.95247,0.96653,0.90418,0.41842,0.31498,1.15994,0.05541,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5301.76,0.6973,0.6194,1.23064,0.03211,0.95348,0.95503,0.96677,0.90349,0.41978,0.31216,1.1623,0.05682,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5418.04,0.68914,0.60504,1.22744,0.03156,0.95234,0.95385,0.96571,0.90281,0.42114,0.315,1.16418,0.05671,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,5535.01,0.6919,0.60909,1.22856,0.03165,0.94995,0.95439,0.96624,0.90291,0.42403,0.31105,1.17121,0.05693,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5651.67,0.69197,0.61184,1.23107,0.03198,0.94956,0.9585,0.96456,0.90334,0.4206,0.31166,1.16247,0.05761,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5768.26,0.68736,0.60988,1.2255,0.03112,0.95254,0.9568,0.96477,0.90345,0.42065,0.31235,1.16462,0.05563,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,5884.47,0.68317,0.60089,1.22107,0.03037,0.95085,0.95375,0.96327,0.90202,0.41957,0.31515,1.15763,0.05459,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,6000.76,0.68723,0.60989,1.22299,0.03051,0.95389,0.95459,0.96347,0.90233,0.41808,0.31671,1.15557,0.05518,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6116.66,0.68375,0.59535,1.22191,0.03094,0.95291,0.95575,0.96291,0.90211,0.41874,0.3173,1.15611,0.05604,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,6232.26,0.68124,0.60076,1.22158,0.03013,0.9531,0.95608,0.96307,0.9009,0.42009,0.31823,1.1599,0.05712,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,6348.87,0.67947,0.59332,1.21693,0.02946,0.95248,0.95695,0.9629,0.90079,0.4196,0.31751,1.15858,0.05731,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6465.37,0.6733,0.59179,1.21295,0.02956,0.95253,0.95687,0.96279,0.90166,0.41788,0.31463,1.15747,0.05733,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,6582.31,0.67727,0.59566,1.21541,0.02954,0.9517,0.95845,0.96278,0.90245,0.41711,0.31254,1.15618,0.05663,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,6698.54,0.67133,0.58797,1.21263,0.02888,0.95187,0.95946,0.96253,0.90286,0.41518,0.3133,1.15399,0.05662,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,6814.73,0.66937,0.5855,1.2096,0.02909,0.95244,0.96068,0.96353,0.9042,0.41497,0.3125,1.15314,0.05695,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,6931.31,0.67158,0.58937,1.21147,0.02914,0.95181,0.95986,0.96361,0.90364,0.41509,0.3117,1.15462,0.05676,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
